Date,Adj Close,cash-rate
2018-07-20,0.736279,1.50
2018-07-23,0.743301,1.50
2018-07-24,0.738007,1.50
2018-07-25,0.742622,1.50
2018-07-26,0.74594,1.50
2018-07-27,0.738007,1.50
2018-07-30,0.740083,1.50
2018-07-31,0.74073,1.50
2018-08-01,0.74195,1.50
2018-08-02,0.740582,1.50
2018-08-03,0.736008,1.50
2018-08-06,0.73959,1.50
2018-08-07,0.738552,1.50
2018-08-08,0.742446,1.50
2018-08-09,0.742777,1.50
2018-08-10,0.737246,1.50
2018-08-13,0.72881,1.50
2018-08-14,0.726797,1.50
2018-08-15,0.723589,1.50
2018-08-16,0.723369,1.50
2018-08-17,0.725953,1.50
2018-08-20,0.730818,1.50
2018-08-21,0.733649,1.50
2018-08-22,0.735981,1.50
2018-08-23,0.733299,1.50
2018-08-24,0.724323,1.50
2018-08-27,0.734408,1.50
2018-08-28,0.734862,1.50
2018-08-29,0.734107,1.50
2018-08-30,0.731192,1.50
2018-08-31,0.726164,1.50
2018-09-03,0.719321,1.50
2018-09-04,0.720825,1.50
2018-09-05,0.718339,1.50
2018-09-06,0.719611,1.50
2018-09-07,0.719062,1.50
2018-09-10,0.711794,1.50
2018-09-11,0.710985,1.50
2018-09-12,0.711071,1.50
2018-09-13,0.717062,1.50
2018-09-14,0.718804,1.50
2018-09-17,0.714592,1.50
2018-09-18,0.714592,1.50
2018-09-19,0.722601,1.50
2018-09-20,0.725953,1.50
2018-09-21,0.728651,1.50
2018-09-24,0.727855,1.50
2018-09-25,0.725321,1.50
2018-09-26,0.7249,1.50
2018-09-27,0.725789,1.50
2018-09-28,0.720513,1.50
2018-10-01,0.722392,1.50
2018-10-02,0.722857,1.50
2018-10-03,0.718752,1.50
2018-10-04,0.709623,1.50
2018-10-05,0.7081,1.50
2018-10-08,0.705288,1.50
2018-10-09,0.707364,1.50
2018-10-10,0.711491,1.50
2018-10-11,0.706414,1.50
2018-10-12,0.712454,1.50
2018-10-15,0.710783,1.50
2018-10-16,0.713542,1.50
2018-10-17,0.713913,1.50
2018-10-18,0.711101,1.50
2018-10-19,0.709723,1.50
2018-10-22,0.711329,1.50
2018-10-23,0.707269,1.50
2018-10-24,0.709119,1.50
2018-10-25,0.706299,1.50
2018-10-26,0.708115,1.50
2018-10-29,0.709774,1.50
2018-10-30,0.706329,1.50
2018-10-31,0.709925,1.50
2018-11-01,0.708316,1.50
2018-11-02,0.720513,1.50
2018-11-05,0.719828,1.50
2018-11-06,0.721293,1.50
2018-11-07,0.72436,1.50
2018-11-08,0.72759,1.50
2018-11-09,0.726681,1.50
2018-11-12,0.7227,1.50
2018-11-13,0.717566,1.50
2018-11-14,0.723139,1.50
2018-11-15,0.723484,1.50
2018-11-16,0.727167,1.50
2018-11-19,0.731797,1.50
2018-11-20,0.729501,1.50
2018-11-21,0.721657,1.50
2018-11-22,0.726216,1.50
2018-11-23,0.725021,1.50
2018-11-26,0.72338,1.50
2018-11-27,0.72235,1.50
2018-11-28,0.722961,1.50
2018-11-29,0.730252,1.50
2018-11-30,0.732188,1.50
2018-12-03,0.737311,1.50
2018-12-04,0.735689,1.50
2018-12-05,0.734592,1.50
2018-12-06,0.726639,1.50
2018-12-07,0.723118,1.50
2018-12-10,0.718494,1.50
2018-12-11,0.719099,1.50
2018-12-12,0.721293,1.50
2018-12-13,0.722126,1.50
2018-12-14,0.722491,1.50
2018-12-17,0.717566,1.50
2018-12-18,0.717721,1.50
2018-12-19,0.718804,1.50
2018-12-20,0.711389,1.50
2018-12-21,0.711592,1.50
2018-12-24,0.70502,1.50
2018-12-25,0.705219,#N/A
2018-12-26,0.704612,#N/A
2018-12-27,0.707479,1.50
2018-12-28,0.703532,1.50
2018-12-31,0.704473,1.50
2019-01-01,0.704176,#N/A
2019-01-02,0.704791,1.50
2019-01-03,0.691898,1.50
2019-01-04,0.700624,1.50
2019-01-07,0.712378,1.50
2019-01-08,0.714592,1.50
2019-01-09,0.716332,1.50
2019-01-10,0.717566,1.50
2019-01-11,0.718701,1.50
2019-01-14,0.720513,1.50
2019-01-15,0.719942,1.50
2019-01-16,0.720767,1.50
2019-01-17,0.717309,1.50
2019-01-18,0.719031,1.50
2019-01-21,0.716384,1.50
2019-01-22,0.715891,1.50
2019-01-23,0.71221,1.50
2019-01-24,0.714796,1.50
2019-01-25,0.709119,1.50
2019-01-28,0.717942,#N/A
2019-01-29,0.716599,1.50
2019-01-30,0.715922,1.50
2019-01-31,0.725468,1.50
2019-02-01,0.727167,1.50
2019-02-04,0.7249,1.50
2019-02-05,0.721402,1.50
2019-02-06,0.724375,1.50
2019-02-07,0.710995,1.50
2019-02-08,0.709542,1.50
2019-02-11,0.710177,1.50
2019-02-12,0.706349,1.50
2019-02-13,0.71048,1.50
2019-02-14,0.70922,1.50
2019-02-15,0.710328,1.50
2019-02-18,0.714541,1.50
2019-02-19,0.713216,1.50
2019-02-20,0.716692,1.50
2019-02-21,0.717,1.50
2019-02-22,0.710884,1.50
2019-02-25,0.715922,1.50
2019-02-26,0.717412,1.50
2019-02-27,0.719399,1.50
2019-02-28,0.714847,1.50
2019-03-01,0.710278,1.50
2019-03-04,0.710031,1.50
2019-03-05,0.70922,1.50
2019-03-06,0.708742,1.50
2019-03-07,0.703482,1.50
2019-03-08,0.702346,1.50
2019-03-11,0.703928,1.50
2019-03-12,0.707339,1.50
2019-03-13,0.706414,1.50
2019-03-14,0.708717,1.50
2019-03-15,0.706814,1.50
2019-03-18,0.708291,1.50
2019-03-19,0.709975,1.50
2019-03-20,0.708968,1.50
2019-03-21,0.713521,1.50
2019-03-22,0.710783,1.50
2019-03-25,0.708316,1.50
2019-03-26,0.711612,1.50
2019-03-27,0.713699,1.50
2019-03-28,0.708451,1.50
2019-03-29,0.708316,1.50
2019-04-01,0.711389,1.50
2019-04-02,0.71099,1.50
2019-04-03,0.705841,1.50
2019-04-04,0.711749,1.50
2019-04-05,0.711035,1.50
2019-04-08,0.710177,1.50
2019-04-09,0.712159,1.50
2019-04-10,0.712911,1.50
2019-04-11,0.716692,1.50
2019-04-12,0.712251,1.50
2019-04-15,0.717309,1.50
2019-04-16,0.717618,1.50
2019-04-17,0.716492,1.50
2019-04-18,0.717412,1.50
2019-04-19,0.714796,#N/A
2019-04-22,0.715103,#N/A
2019-04-23,0.713725,1.50
2019-04-24,0.709668,1.50
2019-04-25,0.701459,#N/A
2019-04-26,0.701779,1.50
2019-04-29,0.704429,1.50
2019-04-30,0.705517,1.50
2019-05-01,0.705129,1.50
2019-05-02,0.701459,1.50
2019-05-03,0.699545,1.50
2019-05-06,0.697331,1.50
2019-05-07,0.699252,1.50
2019-05-08,0.700849,1.50
2019-05-09,0.699496,1.50
2019-05-10,0.698709,1.50
2019-05-13,0.698509,1.50
2019-05-14,0.694589,1.50
2019-05-15,0.693914,1.50
2019-05-16,0.692713,1.50
2019-05-17,0.689322,1.50
2019-05-20,0.690322,1.50
2019-05-21,0.692061,1.50
2019-05-22,null,1.50
2019-05-23,0.687758,1.50
2019-05-24,0.68996,1.50
2019-05-27,0.693289,1.50
2019-05-28,0.691994,1.50
2019-05-29,0.692617,1.50
2019-05-30,0.69184,1.50
2019-05-31,0.690608,1.50
2019-06-03,0.692962,1.50
2019-06-04,0.697204,1.50
2019-06-05,0.699139,1.25
2019-06-06,0.697107,1.25
2019-06-07,0.697545,1.25
2019-06-10,0.699589,#N/A
2019-06-11,0.696112,1.25
2019-06-12,0.696088,1.25
2019-06-13,0.693049,1.25
2019-06-14,0.691324,1.25
2019-06-17,0.68789,1.25
2019-06-18,0.685401,1.25
2019-06-19,0.688042,1.25
2019-06-20,0.688549,1.25
2019-06-21,0.692238,1.25
2019-06-24,0.69443,1.25
2019-06-25,0.696568,1.25
2019-06-26,0.696185,1.25
2019-06-27,0.698661,1.25
2019-06-28,0.700378,1.25
2019-07-01,0.702331,1.25
2019-07-02,0.696476,1.25
2019-07-03,0.699594,1.00
2019-07-04,0.703131,1.00
2019-07-05,0.702538,1.00
2019-07-08,0.698275,1.00
2019-07-09,0.697399,1.00
2019-07-10,0.692713,1.00
2019-07-11,0.696185,1.00
2019-07-12,0.697258,1.00
2019-07-15,0.701779,1.00
2019-07-16,0.704002,1.00
2019-07-17,0.701656,1.00
2019-07-18,0.701016,1.00
2019-07-19,0.706719,1.00
2019-07-22,0.70431,1.00
2019-07-23,0.703185,1.00
2019-07-24,0.699741,1.00
2019-07-25,0.697934,1.00
2019-07-26,0.695217,1.00
2019-07-29,0.690622,1.00
2019-07-30,0.689941,1.00
2019-07-31,0.687522,1.00
2019-08-01,0.68465,1.00
2019-08-02,0.680351,1.00
2019-08-05,0.679302,1.00
2019-08-06,0.676352,1.00
2019-08-07,0.676302,1.00
2019-08-08,0.675813,1.00
2019-08-09,0.681171,1.00
2019-08-12,0.677681,1.00
2019-08-13,0.675589,1.00
2019-08-14,0.679777,1.00
2019-08-15,0.675402,1.00
2019-08-16,0.677277,1.00
2019-08-19,0.678661,1.00
2019-08-20,0.675584,1.00
2019-08-21,0.677521,1.00
2019-08-22,0.6785,1.00
2019-08-23,0.675584,1.00
2019-08-26,0.670808,1.00
2019-08-27,0.676956,1.00
2019-08-28,0.675438,1.00
2019-08-29,0.673959,1.00
2019-08-30,0.673582,1.00
2019-09-02,0.672766,1.00
2019-09-03,0.671249,1.00
2019-09-04,0.676398,1.00
2019-09-05,0.679995,1.00
2019-09-06,0.68118,1.00
2019-09-09,0.684669,1.00
2019-09-10,0.68653,1.00
2019-09-11,0.685852,1.00
2019-09-12,0.68738,1.00
2019-09-13,0.686389,1.00
2019-09-16,0.687994,1.00
2019-09-17,0.686295,1.00
2019-09-18,0.686625,1.00
2019-09-19,0.682571,1.00
2019-09-20,0.679279,1.00
2019-09-23,0.676901,1.00
2019-09-24,0.677599,1.00
2019-09-25,0.679948,1.00
2019-09-26,0.675539,1.00
2019-09-27,0.675402,1.00
2019-09-30,0.676087,1.00
2019-10-01,0.675311,1.00
2019-10-02,0.670871,0.75
2019-10-03,0.670961,0.75
2019-10-04,0.674532,0.75
2019-10-07,0.676453,0.75
2019-10-08,0.673251,0.75
2019-10-09,0.672812,0.75
2019-10-10,0.671817,0.75
2019-10-11,0.67632,0.75
2019-10-14,0.679639,0.75
2019-10-15,0.67754,0.75
2019-10-16,0.67532,0.75
2019-10-17,0.675639,0.75
2019-10-18,0.682547,0.75
2019-10-21,0.684772,0.75
2019-10-22,0.687059,0.75
2019-10-23,0.68613,0.75
2019-10-24,0.68503,0.75
2019-10-25,0.681663,0.75
2019-10-28,0.6824,0.75
2019-10-29,0.68396,0.75
2019-10-30,0.685589,0.75
2019-10-31,0.689788,0.75
2019-11-01,0.689299,0.75
2019-11-04,0.6918,0.75
